"data","count","itens","ano","mes","dia","dia_semana"
2015-01-02,1,1,2015,1,2,6
2015-01-05,1,1,2015,1,5,2
2015-01-06,6,6,2015,1,6,3
2015-01-07,8,13,2015,1,7,4
2015-01-09,3,3,2015,1,9,6
2015-01-10,2,2,2015,1,10,7
2015-01-12,1,1,2015,1,12,2
2015-01-13,5,5,2015,1,13,3
2015-01-14,1,1,2015,1,14,4
2015-01-15,4,4,2015,1,15,5
2015-01-16,11,17,2015,1,16,6
2015-01-19,9,15,2015,1,19,2
2015-01-20,11,13,2015,1,20,3
2015-01-22,31,31,2015,1,22,5
2015-01-23,9,9,2015,1,23,6
2015-01-24,27,34,2015,1,24,7
2015-01-26,6,6,2015,1,26,2
2015-01-27,8,8,2015,1,27,3
2015-01-28,8,9,2015,1,28,4
2015-01-29,21,27,2015,1,29,5
2015-01-30,14,28,2015,1,30,6
2015-01-31,33,35,2015,1,31,7
2015-02-03,9,12,2015,2,3,3
2015-02-04,7,7,2015,2,4,4
2015-02-05,20,21,2015,2,5,5
2015-02-06,46,48,2015,2,6,6
2015-02-07,7,9,2015,2,7,7
2015-02-09,19,20,2015,2,9,2
2015-02-10,1,2,2015,2,10,3
2015-02-11,14,21,2015,2,11,4
2015-02-12,13,19,2015,2,12,5
2015-02-13,13,14,2015,2,13,6
2015-02-14,40,67,2015,2,14,7
2015-02-16,1,2,2015,2,16,2
2015-02-20,4,4,2015,2,20,6
2015-02-21,12,14,2015,2,21,7
2015-02-25,2,2,2015,2,25,4
2015-02-26,18,36,2015,2,26,5
2015-02-27,17,21,2015,2,27,6
2015-02-28,21,25,2015,2,28,7
2015-03-02,29,45,2015,3,2,2
2015-03-04,1,2,2015,3,4,4
2015-03-05,7,11,2015,3,5,5
2015-03-06,16,25,2015,3,6,6
2015-03-07,24,41,2015,3,7,7
2015-03-10,2,4,2015,3,10,3
2015-03-12,18,18,2015,3,12,5
2015-03-14,8,9,2015,3,14,7
2015-03-17,3,3,2015,3,17,3
2015-03-18,5,5,2015,3,18,4
2015-03-19,7,11,2015,3,19,5
2015-03-20,11,14,2015,3,20,6
2015-03-21,8,17,2015,3,21,7
2015-03-23,1,1,2015,3,23,2
2015-03-24,8,9,2015,3,24,3
2015-03-27,35,36,2015,3,27,6
2015-03-28,28,36,2015,3,28,7
2015-03-30,4,4,2015,3,30,2
2015-03-31,5,6,2015,3,31,3
2015-04-01,5,5,2015,4,1,4
2015-04-04,8,8,2015,4,4,7
2015-04-06,4,4,2015,4,6,2
2015-04-07,2,2,2015,4,7,3
2015-04-08,2,3,2015,4,8,4
2015-04-09,11,12,2015,4,9,5
2015-04-10,2,4,2015,4,10,6
2015-04-11,5,5,2015,4,11,7
2015-04-13,5,5,2015,4,13,2
2015-04-15,3,3,2015,4,15,4
2015-04-16,10,10,2015,4,16,5
2015-04-18,1,1,2015,4,18,7
2015-04-20,5,5,2015,4,20,2
2015-04-23,8,8,2015,4,23,5
2015-04-25,3,3,2015,4,25,7
2015-04-27,4,4,2015,4,27,2
2015-04-30,14,14,2015,4,30,5
2015-05-02,6,8,2015,5,2,7
2015-05-04,5,5,2015,5,4,2
2015-05-05,1,1,2015,5,5,3
2015-05-06,9,9,2015,5,6,4
2015-05-07,6,9,2015,5,7,5
2015-05-08,20,24,2015,5,8,6
2015-05-09,38,45,2015,5,9,7
2015-05-11,1,1,2015,5,11,2
2015-05-12,6,6,2015,5,12,3
2015-05-16,1,1,2015,5,16,7
2015-05-19,14,27,2015,5,19,3
2015-05-20,15,16,2015,5,20,4
2015-05-22,3,12,2015,5,22,6
2015-05-23,18,20,2015,5,23,7
2015-05-27,7,8,2015,5,27,4
2015-05-28,2,2,2015,5,28,5
2015-05-29,1,1,2015,5,29,6
2015-05-30,22,22,2015,5,30,7
2015-06-02,2,3,2015,6,2,3
2015-06-03,1,2,2015,6,3,4
2015-06-05,14,14,2015,6,5,6
2015-06-06,10,16,2015,6,6,7
2015-06-08,4,4,2015,6,8,2
2015-06-09,9,15,2015,6,9,3
2015-06-10,1,1,2015,6,10,4
2015-06-11,2,6,2015,6,11,5
2015-06-12,7,8,2015,6,12,6
2015-06-13,16,17,2015,6,13,7
2015-06-17,1,1,2015,6,17,4
2015-06-18,4,4,2015,6,18,5
2015-06-19,19,27,2015,6,19,6
2015-06-20,12,17,2015,6,20,7
2015-06-22,2,4,2015,6,22,2
2015-06-23,3,3,2015,6,23,3
2015-06-24,1,1,2015,6,24,4
2015-06-26,3,3,2015,6,26,6
2015-06-27,7,8,2015,6,27,7
2015-06-29,8,8,2015,6,29,2
2015-06-30,12,12,2015,6,30,3
2015-07-01,3,6,2015,7,1,4
2015-07-02,1,3,2015,7,2,5
2015-07-03,4,6,2015,7,3,6
2015-07-04,1,2,2015,7,4,7
2015-07-06,4,7,2015,7,6,2
2015-07-07,20,32,2015,7,7,3
